source_sheet,SCHOOL,POSITION,NAME,HEIGHT,WEIGHT,CLASS,BIRTHPLACE
Big 10,PURDUE,RB3,Antonio Harris,"6' 0""",210 lbs,JR,"Chandler, IN"
Big 10,PURDUE,WR1,Xavier Townsend,"5' 11""",195 lbs,SR,"Tampa, FL"
Big 10,PURDUE,WR2,Bisi Owens,"6' 4""",215 lbs,SR,"Cooksville, MD"
Big 10,PURDUE,WR3,Asaad Waseem,"5' 11""",175 lbs,JR,"Apopka, FL"
Big 10,PURDUE,WR4,Jaylan Hornsby,"6' 3""",215 lbs,SO,"Winslow, NJ"
Big 10,PURDUE,TE1,George Burhenn,"6' 5""",235 lbs,JR,"McCordsville, IN"
Big 10,PURDUE,TE2,Kylan Fox,"6' 4""",229 lbs,JR,"Valdosta, GA"
Big 10,PURDUE,K,Jacobo Lozano,"5'10""",170 lbs,FR,"Upper St. Clair, PA"
Big 10,RUTGERS,QB1,AJ Surace,"6' 2""",212 lbs,JR,"Pennington, NJ"
Big 10,RUTGERS,QB2,Dylan Lonergan,"6' 2""",211 lbs,JR,"Snellville, GA"
Big 10,RUTGERS,RB1,Antwan Raymond,"5' 11""",205 lbs,JR,"Montreal, Canada"
Big 10,RUTGERS,RB2,Clay Thevenin,"5' 10""",195 lbs,JR,"Fort Lauderdale, FL"
Big 10,RUTGERS,RB3,Ja'shon Benjamin,"5' 9""",203 lbs,SR,"Pahokee, FL"
Big 10,RUTGERS,WR1,KJ Duff,"6' 6""",225 lbs,JR,"Riverhead, NY"
Big 10,RUTGERS,WR2,Ben Black,"6' 0""",184 lbs,JR,"Charlotte, NC"
Big 10,RUTGERS,WR3,Jourdin Houston,"6' 1""",195 lbs,SO,"Bronx, NY"
Big 10,RUTGERS,WR4,Michael Thomas III,"5' 11""",202 lbs,SO,"Barnegat, NJ"
Big 10,RUTGERS,TE1,Logan Blake,"6' 6""",261 lbs,SR,"Frenchtown, NJ"
Big 10,RUTGERS,TE2,Kameron Anthony,"6' 4""",238 lbs,SO,"Fishers, IN"
Big 10,RUTGERS,K,Jai Patel,"5' 9""",180 lbs,SR,"Monmouth Junction, NJ"
Big 10,UCLA,QB1,Nico Iamaleava,"6' 6""",215 lbs,JR,"Long Beach, CA"
Big 10,UCLA,QB2,Madden Iamaleava,"6' 3""",195 lbs,SO,"Long Beach, CA"
Big 10,UCLA,RB1,Wayne Knight,"5' 7""",190 lbs,SR,"Smyrna, DE"
Big 10,UCLA,RB2,Anthony Woods,"5' 11""",185 lbs,SR,"Palmdale, CA"
Big 10,UCLA,RB3,Jaivian Thomas,"5' 11""",195 lbs,SR,"Oakland, CA"
Big 10,UCLA,WR1,Leland Smith,"6' 4""",215 lbs,SR,"Houston, TX"
Big 10,UCLA,WR2,Landon Ellis,"6' 2""",213 lbs,SR,"Orange, VA"
Big 10,UCLA,WR3,Mikey Matthews,"5' 9""",180 lbs,SR,"Irvine, CA"
Big 10,UCLA,WR4,Aidan Mizell,"6'2""",185 lbs,JR,"Orlando, FL"
